City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Hermanus,ZA,2022-05-25 23:04:53,-34.4187,19.2345,58.8,92,87,3.87
99,Brigantine,US,2022-05-25 23:00:40,39.4101,-74.3646,63.03,64,95,12.48
100,Portland,US,2022-05-25 23:04:06,45.5234,-122.6762,76.6,53,75,5.01
101,Debre Tabor,ET,2022-05-25 23:04:54,11.85,38.0167,58.86,61,65,1.61
102,Koslan,RU,2022-05-25 23:04:54,63.4564,48.8989,45.34,98,100,2.59
103,Trincomalee,LK,2022-05-25 23:04:54,8.5711,81.2335,81.59,75,92,17.63
104,Dikson,RU,2022-05-25 23:04:55,73.5069,80.5464,18.45,96,80,4.45
105,Grindavik,IS,2022-05-25 23:04:55,63.8424,-22.4338,43.27,87,40,3.44
106,Qaanaaq,GL,2022-05-25 23:04:56,77.484,-69.3632,17.69,86,42,4.92
107,Richards Bay,ZA,2022-05-25 23:04:56,-28.783,32.0377,64.27,81,0,7.14
108,Norman Wells,CA,2022-05-25 23:04:57,65.282,-126.8329,53.64,62,75,10.36
109,Hobart,AU,2022-05-25 23:00:16,-42.8794,147.3294,46.27,94,20,6.91
110,Hualmay,PE,2022-05-25 23:04:57,-11.0964,-77.6139,64.71,81,53,7.81
111,Bathsheba,BB,2022-05-25 23:04:58,13.2167,-59.5167,81.21,78,40,16.11
112,Nago,JP,2022-05-25 23:04:58,26.5881,127.9761,74.25,89,100,4.83
113,Mount Gambier,AU,2022-05-25 23:04:58,-37.8333,140.7667,57.11,94,100,12.66
114,Pacific Grove,US,2022-05-25 23:03:26,36.6177,-121.9166,75.31,81,20,13.0
115,Mackay,AU,2022-05-25 23:00:16,-21.15,149.2,72.68,80,47,12.59
116,Yellowknife,CA,2022-05-25 23:04:59,62.456,-114.3525,57.56,28,22,5.99
117,Bethel,US,2022-05-25 23:04:59,41.3712,-73.414,69.35,62,0,9.22
118,Pangnirtung,CA,2022-05-25 23:05:00,66.1451,-65.7125,20.21,93,100,10.98
119,Baiao,BR,2022-05-25 23:05:00,-2.7906,-49.6717,75.88,88,92,2.51
120,Ugoofaaru,MV,2022-05-25 23:05:01,5.6667,73.0,81.95,79,100,10.54
121,Hithadhoo,MV,2022-05-25 23:05:01,-0.6,73.0833,82.98,67,100,5.08
122,Kirkenaer,NO,2022-05-25 23:05:01,60.4564,12.0582,46.62,91,81,7.65
123,Barrow,US,2022-05-25 23:05:02,71.2906,-156.7887,33.82,86,0,16.11
124,Okhotsk,RU,2022-05-25 23:05:02,59.3833,143.3,35.82,96,100,5.23
125,Mataura,NZ,2022-05-25 23:05:03,-46.1927,168.8643,44.47,82,23,2.13
126,Tual,ID,2022-05-25 23:05:03,-5.6667,132.75,81.99,76,87,5.93
127,New Norfolk,AU,2022-05-25 23:05:03,-42.7826,147.0587,46.92,87,58,2.73
128,Mount Isa,AU,2022-05-25 23:05:04,-20.7333,139.5,64.17,68,0,6.91
129,Port-Gentil,GA,2022-05-25 23:05:04,-0.7193,8.7815,76.96,83,20,11.5
130,Kavieng,PG,2022-05-25 23:05:05,-2.5744,150.7967,83.14,69,100,8.21
131,Nurlat,RU,2022-05-25 23:05:05,54.4277,50.8051,36.43,92,28,6.98
132,Narsaq,GL,2022-05-25 23:05:06,60.9167,-46.05,44.82,54,22,1.92
133,Coahuayana,MX,2022-05-25 23:05:06,18.7333,-103.6833,84.09,59,99,6.29
134,Gap,FR,2022-05-25 23:05:06,44.6667,6.0,43.83,79,39,6.29
135,Bengkulu,ID,2022-05-25 23:05:07,-3.8004,102.2655,74.23,82,100,4.32
136,Ancud,CL,2022-05-25 23:05:07,-41.8697,-73.8203,40.89,76,4,4.34
137,Sorland,NO,2022-05-25 23:05:08,67.667,12.6934,46.26,88,98,15.61
138,Port Alfred,ZA,2022-05-25 23:05:08,-33.5906,26.891,60.19,92,20,1.99
139,Manzhouli,CN,2022-05-25 23:05:08,49.6,117.4333,67.15,25,4,6.38
140,Lekoni,GA,2022-05-25 23:06:09,-1.5843,14.2591,73.08,86,100,3.04
141,Tessalit,ML,2022-05-25 23:06:10,20.1986,1.0114,89.15,25,96,9.1
142,Bestobe,KZ,2022-05-25 23:06:10,52.4994,73.0975,62.67,44,72,6.76
143,Evensk,RU,2022-05-25 23:06:10,61.95,159.2333,42.67,81,100,2.8
144,Hilo,US,2022-05-25 23:03:05,19.7297,-155.09,88.29,69,0,12.66
145,Karratha,AU,2022-05-25 23:06:11,-20.7377,116.8463,73.94,59,8,6.91
146,Payakumbuh,ID,2022-05-25 23:06:11,-0.2202,100.6308,68.94,85,100,2.1
147,Palanpur,IN,2022-05-25 23:01:25,24.1667,72.4333,80.94,75,0,9.46
148,Xiaoweizhai,CN,2022-05-25 23:06:12,26.1903,107.5125,68.79,99,100,0.54
149,Vila Franca Do Campo,PT,2022-05-25 23:06:12,37.7167,-25.4333,66.2,70,67,5.06
150,Luxor,EG,2022-05-25 23:06:13,25.6989,32.6421,81.0,16,0,9.08
151,Naze,JP,2022-05-25 23:06:13,28.3667,129.4833,71.56,86,81,6.51
152,Tadine,NC,2022-05-25 23:06:14,-21.55,167.8833,76.86,72,0,4.41
153,Griffith,US,2022-05-25 23:01:57,41.5284,-87.4237,82.33,70,75,9.22
154,Saldanha,ZA,2022-05-25 23:05:28,-33.0117,17.9442,60.22,90,0,3.58
155,Manjakandriana,MG,2022-05-25 23:06:14,-18.9167,47.8,55.09,97,4,1.1
156,Airai,TL,2022-05-25 23:06:15,-8.9266,125.4092,62.04,87,100,2.75
157,Eregli,TR,2022-05-25 23:06:15,37.5133,34.0467,60.01,52,2,1.28
158,Perelyub,RU,2022-05-25 23:06:16,51.8667,50.3667,41.94,78,33,5.77
159,Fare,PF,2022-05-25 23:06:16,-16.7,-151.0167,80.82,69,1,12.62
160,Ulcinj,ME,2022-05-25 23:06:16,41.9294,19.2244,68.22,57,84,6.85
161,Anadyr,RU,2022-05-25 23:06:17,64.75,177.4833,52.3,57,0,11.18
162,Saskylakh,RU,2022-05-25 23:06:17,71.9167,114.0833,23.65,90,82,3.31
163,Rafai,CF,2022-05-25 23:06:18,4.95,23.9167,68.68,92,61,1.83
164,Mahebourg,MU,2022-05-25 23:06:18,-20.4081,57.7,70.09,88,20,3.44
165,Chalus,IR,2022-05-25 23:06:18,36.655,51.4204,61.74,92,100,5.17
166,Aboyne,GB,2022-05-25 23:06:19,57.0755,-2.7802,48.27,78,6,8.34
167,Brae,GB,2022-05-25 23:06:19,60.3964,-1.353,47.79,82,47,20.49
168,Sitka,US,2022-05-25 23:06:20,57.0531,-135.33,55.29,58,100,16.11
169,Torbay,CA,2022-05-25 23:05:31,47.6666,-52.7314,47.28,62,50,1.01
170,Cape Town,ZA,2022-05-25 23:04:22,-33.9258,18.4232,61.12,96,51,1.01
171,Buchanan,LR,2022-05-25 23:06:20,5.8808,-10.0467,74.43,92,98,4.32
172,Trinidad,BO,2022-05-25 23:06:21,-14.8333,-64.9,75.18,94,75,4.61
173,Sao Filipe,CV,2022-05-25 23:06:21,14.8961,-24.4956,70.99,80,4,9.37
174,Kenai,US,2022-05-25 23:06:22,60.5544,-151.2583,59.02,61,0,12.66
175,Ugep,NG,2022-05-25 23:06:22,5.8086,8.0812,72.66,97,86,5.55
176,Henties Bay,NA,2022-05-25 23:06:23,-22.116,14.2845,59.09,79,0,6.26
177,Puerto Baquerizo Moreno,EC,2022-05-25 23:02:43,-0.9,-89.6,71.87,81,75,11.86
178,Santiago Del Estero,AR,2022-05-25 23:06:23,-27.7951,-64.2615,71.55,56,64,18.97
179,Kidal,ML,2022-05-25 23:06:24,18.4411,1.4078,89.24,30,91,10.0
180,Praia Da Vitoria,PT,2022-05-25 23:06:24,38.7333,-27.0667,61.75,80,8,7.81
181,Jenison,US,2022-05-25 23:05:46,42.9072,-85.792,70.05,92,100,3.0
182,Tynda,RU,2022-05-25 23:04:13,55.1667,124.7167,54.86,71,66,1.16
183,Kontagora,NG,2022-05-25 23:06:25,10.3999,5.4695,81.63,52,35,5.66
184,Bougouni,ML,2022-05-25 23:06:25,11.417,-7.479,76.55,74,46,3.15
185,Albany,US,2022-05-25 23:06:26,42.6001,-73.9662,74.05,48,99,5.1
186,Bilma,NE,2022-05-25 23:07:26,18.6853,12.9164,89.06,9,6,5.59
187,Uruana,BR,2022-05-25 23:07:27,-15.4981,-49.6875,68.29,40,9,4.32
188,Notre-Dame-Du-Lac,CA,2022-05-25 23:07:27,47.6136,-68.7964,62.35,59,100,2.84
189,Hobyo,SO,2022-05-25 23:07:28,5.3505,48.5268,79.38,81,91,23.31
190,Fuzhou,CN,2022-05-25 23:05:29,26.0614,119.3061,70.27,99,100,1.74
191,Brokopondo,SR,2022-05-25 23:07:28,4.75,-55.1667,77.65,87,34,6.76
192,Willowmore,ZA,2022-05-25 23:07:29,-33.2926,23.4895,51.15,89,23,3.38
193,Pevek,RU,2022-05-25 23:07:29,69.7008,170.3133,31.26,94,50,10.16
194,Turukhansk,RU,2022-05-25 23:07:29,65.8167,87.9833,40.86,79,42,8.1
195,San Andres,CO,2022-05-25 23:07:30,12.5847,-81.7006,80.62,89,75,11.5
196,Lebu,CL,2022-05-25 23:07:30,-37.6167,-73.65,48.42,80,40,17.74
197,Nikolskoye,RU,2022-05-25 23:07:31,59.7035,30.7861,44.49,80,82,5.03
198,Pisco,PE,2022-05-25 23:04:53,-13.7,-76.2167,64.45,77,20,3.44
199,Gamboma,CG,2022-05-25 23:07:31,-1.8764,15.8644,71.26,94,64,0.2
200,Cedar City,US,2022-05-25 23:07:32,37.6775,-113.0619,81.39,14,0,11.5
201,Kilindoni,TZ,2022-05-25 23:07:32,-7.9139,39.6668,80.28,75,67,13.62
202,Williamsburg,US,2022-05-25 23:06:59,37.2707,-76.7075,65.97,83,0,11.5
203,Rio Gallegos,AR,2022-05-25 23:07:33,-51.6226,-69.2181,39.25,75,0,20.71
204,Neuquen,AR,2022-05-25 23:07:33,-38.9516,-68.0591,46.04,37,1,5.23
205,Labuhan,ID,2022-05-25 23:07:34,-6.8844,112.2051,77.79,89,100,6.89
206,Beyneu,KZ,2022-05-25 23:07:34,45.3167,55.2,60.71,51,100,11.99
207,Cidreira,BR,2022-05-25 23:07:34,-30.1811,-50.2056,65.55,87,21,8.1
208,Lichuan,CN,2022-05-25 23:05:13,30.3,108.85,55.92,97,100,2.68
209,San Patricio,US,2022-05-25 23:07:35,28.017,-97.5169,87.67,69,99,7.9
210,Luanda,AO,2022-05-25 23:07:35,-8.8368,13.2343,70.16,89,7,6.78
211,Annau,TM,2022-05-25 23:07:36,37.8876,58.516,71.04,47,13,15.26
212,Ust-Kuyga,RU,2022-05-25 23:07:36,70.0167,135.6,30.79,82,86,12.88
213,Tasiilaq,GL,2022-05-25 23:07:37,65.6145,-37.6368,37.56,84,100,2.35
214,Klaksvik,FO,2022-05-25 23:07:37,62.2266,-6.589,45.52,77,22,16.6
215,Beian,NO,2022-05-25 23:07:37,63.6559,9.5683,48.0,76,40,8.05
216,Kununurra,AU,2022-05-25 23:07:38,-15.7667,128.7333,67.98,77,61,0.0
217,Dunedin,NZ,2022-05-25 23:06:15,-45.8742,170.5036,44.8,60,66,4.0
218,Leku,ET,2022-05-25 23:07:39,6.8667,38.45,57.61,93,98,2.93
219,Kahului,US,2022-05-25 23:07:39,20.8947,-156.47,82.42,61,40,19.57
220,Viramgam,IN,2022-05-25 23:07:39,23.1225,72.0484,82.85,72,0,13.15
221,Leh,IN,2022-05-25 23:07:40,34.1667,77.5833,47.48,50,88,6.6
222,Kijang,KR,2022-05-25 23:07:40,35.2442,129.2139,71.33,61,100,4.29
223,Gottingen,DE,2022-05-25 23:06:20,51.5333,9.9333,61.09,60,97,10.74
224,Keetmanshoop,NA,2022-05-25 23:07:41,-26.5833,18.1333,61.79,30,5,5.23
225,Bozoum,CF,2022-05-25 23:07:41,6.3193,16.3799,68.47,88,29,2.75
226,Severo-Kurilsk,RU,2022-05-25 23:07:42,50.6789,156.125,40.91,92,100,6.55
227,Dingle,PH,2022-05-25 23:08:42,10.9995,122.6711,81.23,80,95,3.02
228,Sudak,UA,2022-05-25 23:03:47,44.85,34.9667,56.8,74,48,5.48
229,San Vicente,AR,2022-05-25 23:08:43,-26.6167,-54.1333,60.76,83,0,3.24
230,Tuktoyaktuk,CA,2022-05-25 23:08:43,69.4541,-133.0374,35.08,79,62,3.89
