City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
110,Paamiut,GL,2022-05-28 17:07:38,61.994,-49.6678,35.29,84,100,25.3,overcast clouds
111,Kapoeta,SS,2022-05-28 17:07:38,4.7717,33.5903,83.01,49,85,2.17,overcast clouds
112,Port Alfred,ZA,2022-05-28 17:07:39,-33.5906,26.891,64.18,75,3,5.01,clear sky
113,Teguise,ES,2022-05-28 17:07:39,29.0605,-13.564,70.02,64,40,9.22,scattered clouds
114,Bandiagara,ML,2022-05-28 17:07:40,14.3501,-3.6104,102.51,17,2,10.56,clear sky
115,Andenes,NO,2022-05-28 17:03:11,69.3143,16.1194,46.38,81,100,10.36,overcast clouds
116,Saint George,US,2022-05-28 17:07:40,37.1041,-113.5841,88.79,12,0,11.5,clear sky
117,Searcy,US,2022-05-28 17:03:18,35.2506,-91.7363,78.15,65,0,8.05,clear sky
118,Awbari,LY,2022-05-28 17:07:41,26.5921,12.7805,95.67,9,27,15.05,scattered clouds
119,Yenotayevka,RU,2022-05-28 17:07:41,47.2456,47.0281,75.27,44,32,10.33,scattered clouds
120,Codrington,AU,2022-05-28 17:07:42,-38.2667,141.9667,51.71,79,98,4.74,overcast clouds
121,Nanzhou,CN,2022-05-28 17:07:42,29.3596,112.4024,68.45,97,69,6.24,broken clouds
122,Port Elizabeth,ZA,2022-05-28 17:05:12,-33.918,25.5701,64.09,85,40,23.02,scattered clouds
123,Bow Island,CA,2022-05-28 17:07:43,49.8668,-111.3684,60.48,41,90,10.4,overcast clouds
124,Pemberton,CA,2022-05-28 17:07:43,50.3164,-122.8027,51.98,66,99,1.59,overcast clouds
125,Banjarmasin,ID,2022-05-28 17:05:47,-3.3244,114.591,77.14,93,98,3.56,overcast clouds
126,Dunedin,NZ,2022-05-28 17:03:29,-45.8742,170.5036,45.81,72,37,3.67,scattered clouds
127,Tasiilaq,GL,2022-05-28 17:03:12,65.6145,-37.6368,41.16,93,100,33.15,moderate rain
128,Nome,US,2022-05-28 17:07:44,64.5011,-165.4064,33.87,93,100,3.44,overcast clouds
129,Yairipok,IN,2022-05-28 17:07:44,24.6667,94.0667,66.7,87,0,1.19,clear sky
130,Provideniya,RU,2022-05-28 17:07:45,64.3833,-173.3,41.77,78,13,6.06,few clouds
131,Oksbol,DK,2022-05-28 17:07:45,55.6268,8.2876,53.91,82,99,23.55,overcast clouds
132,Thompson,CA,2022-05-28 17:07:46,55.7435,-97.8558,57.6,32,59,7.45,broken clouds
133,Ancud,CL,2022-05-28 17:03:33,-41.8697,-73.8203,48.13,60,86,7.61,overcast clouds
134,Sitka,US,2022-05-28 17:07:46,57.0531,-135.33,51.69,82,100,3.44,mist
135,Baghdad,IQ,2022-05-28 17:07:46,33.3406,44.4009,93.11,12,0,5.75,clear sky
136,Nemuro,JP,2022-05-28 17:07:47,43.3236,145.575,46.76,89,97,21.54,overcast clouds
137,Shchelkun,RU,2022-05-28 17:07:47,56.3034,60.9483,56.77,84,61,7.29,broken clouds
138,High Level,CA,2022-05-28 17:07:48,58.5169,-117.136,58.23,45,100,10.65,overcast clouds
139,Kaitangata,NZ,2022-05-28 17:07:48,-46.2817,169.8464,42.15,90,32,4.0,scattered clouds
140,Dicabisagan,PH,2022-05-28 17:07:49,17.0818,122.4157,79.5,88,16,6.89,few clouds
141,Wanning,CN,2022-05-28 17:07:49,18.8003,110.3967,79.79,92,22,7.76,few clouds
142,Sao Joao Da Barra,BR,2022-05-28 17:07:50,-21.6403,-41.0511,82.49,68,100,11.74,overcast clouds
143,Naze,JP,2022-05-28 17:07:50,28.3667,129.4833,67.12,92,100,13.24,overcast clouds
144,Isangel,VU,2022-05-28 17:07:51,-19.55,169.2667,75.33,84,17,5.35,few clouds
145,Cambridge,CA,2022-05-28 17:07:51,43.3601,-80.3127,70.23,60,9,1.01,clear sky
146,Ikwiriri,TZ,2022-05-28 17:07:51,-7.9562,38.9716,70.68,80,29,4.03,scattered clouds
147,Carnarvon,AU,2022-05-28 17:07:52,-24.8667,113.6333,68.18,75,100,13.42,overcast clouds
148,Bambous Virieux,MU,2022-05-28 17:07:52,-20.3428,57.7575,75.45,73,40,13.8,scattered clouds
149,Humaita,BR,2022-05-28 17:07:53,-7.5061,-63.0208,93.02,42,100,4.65,overcast clouds
150,Sibolga,ID,2022-05-28 17:07:53,1.7427,98.7792,75.9,86,68,3.69,broken clouds
151,Polistena,IT,2022-05-28 17:07:53,38.406,16.08,68.5,79,4,3.04,clear sky
152,Leh,IN,2022-05-28 17:07:54,34.1667,77.5833,55.31,39,78,5.64,broken clouds
153,Buala,SB,2022-05-28 17:07:54,-8.145,159.5921,79.25,82,92,4.25,light rain
154,Yellowknife,CA,2022-05-28 17:03:50,62.456,-114.3525,57.56,50,11,13.0,few clouds
155,Awjilah,LY,2022-05-28 17:07:55,29.1081,21.2869,99.9,8,0,7.7,clear sky
156,Dandong,CN,2022-05-28 17:07:55,40.1292,124.3947,58.46,90,10,8.57,clear sky
157,Khani,GE,2022-05-28 17:07:56,41.9563,42.9566,60.37,91,71,2.53,broken clouds
158,Disraeli,CA,2022-05-28 17:07:56,45.9001,-71.3491,59.22,89,99,1.01,overcast clouds
159,Aklavik,CA,2022-05-28 17:07:56,68.2191,-135.0107,33.8,75,75,4.61,broken clouds
160,Vostok,RU,2022-05-28 17:07:57,46.4856,135.8833,47.39,94,10,3.8,clear sky
161,Waipawa,NZ,2022-05-28 17:07:57,-41.4122,175.5153,42.8,89,5,4.52,clear sky
162,Ambon,ID,2022-05-28 17:07:58,-3.6954,128.1814,75.34,94,40,4.61,scattered clouds
163,Bengkulu,ID,2022-05-28 17:07:58,-3.8004,102.2655,75.45,89,85,6.64,overcast clouds
164,Zhezkazgan,KZ,2022-05-28 17:07:59,47.8043,67.7144,62.51,45,100,13.58,overcast clouds
165,Airai,TL,2022-05-28 17:07:59,-8.9266,125.4092,58.82,89,43,1.12,scattered clouds
166,Superior,US,2022-05-28 17:07:59,46.7208,-92.1041,58.48,95,100,18.41,mist
167,Tautira,PF,2022-05-28 17:08:00,-17.7333,-149.15,79.84,76,20,15.95,few clouds
168,Brae,GB,2022-05-28 17:08:00,60.3964,-1.353,45.54,73,100,22.37,overcast clouds
169,Prince Rupert,CA,2022-05-28 17:08:01,54.3161,-130.3201,51.3,82,100,1.28,light rain
170,Chapais,CA,2022-05-28 17:08:01,49.7834,-74.8492,62.55,44,79,14.34,broken clouds
171,Caucaia,BR,2022-05-28 17:08:02,-3.7361,-38.6531,83.03,69,75,10.36,broken clouds
172,Torbay,CA,2022-05-28 17:05:35,47.6666,-52.7314,42.53,78,100,18.41,light rain
173,Tiksi,RU,2022-05-28 17:08:02,71.6872,128.8694,28.33,93,100,2.37,overcast clouds
174,Dombarovskiy,RU,2022-05-28 17:08:03,50.7587,59.5386,59.4,66,51,4.59,broken clouds
175,Totness,SR,2022-05-28 17:08:03,5.8833,-56.3167,83.52,69,87,10.63,overcast clouds
176,Visnes,NO,2022-05-28 17:08:04,59.3556,5.2242,54.82,76,20,35.68,few clouds
177,Mulege,MX,2022-05-28 17:08:04,26.8833,-111.9833,92.95,19,3,4.76,clear sky
178,Akcakoca,TR,2022-05-28 17:08:04,41.0866,31.1162,68.09,71,2,5.23,clear sky
179,Roald,NO,2022-05-28 17:08:05,62.5833,6.1333,49.75,93,75,9.22,light intensity drizzle
180,Yaan,NG,2022-05-28 17:08:05,7.3833,8.5667,85.51,58,49,10.45,scattered clouds
181,Trofors,NO,2022-05-28 17:08:06,65.5333,13.4063,45.93,86,100,2.95,overcast clouds
182,Banda Aceh,ID,2022-05-28 17:08:06,5.5577,95.3222,80.24,81,98,14.29,light rain
183,Boyuibe,BO,2022-05-28 17:08:07,-20.4167,-63.2833,64.4,82,100,5.64,overcast clouds
184,Oistins,BB,2022-05-28 17:08:07,13.0667,-59.5333,86.09,70,20,17.27,few clouds
185,Santa Isabel,BR,2022-05-28 17:08:08,-23.3156,-46.2214,78.1,38,92,3.8,overcast clouds
186,Saint-Pierre,RE,2022-05-28 17:08:08,-21.3393,55.4781,73.08,64,75,12.66,broken clouds
187,Cochrane,CA,2022-05-28 17:08:09,51.1834,-114.4687,62.91,31,13,4.68,few clouds
188,Owerri,NG,2022-05-28 17:08:09,5.4833,7.0304,80.98,73,88,3.56,overcast clouds
189,Hofn,IS,2022-05-28 17:08:09,64.2539,-15.2082,48.78,75,42,9.91,scattered clouds
190,Cabinda,AO,2022-05-28 17:08:10,-5.55,12.2,74.98,78,9,8.66,clear sky
191,Tiznit,MA,2022-05-28 17:08:10,29.5833,-9.5,74.52,53,17,6.67,few clouds
192,Khatanga,RU,2022-05-28 17:08:11,71.9667,102.5,31.06,95,100,10.92,overcast clouds
193,Buta,CD,2022-05-28 17:08:11,2.7858,24.73,69.33,96,100,3.76,overcast clouds
194,Nanortalik,GL,2022-05-28 17:08:12,60.1432,-45.2371,41.4,78,98,9.17,overcast clouds
195,Esil,KZ,2022-05-28 17:08:12,51.9556,66.4042,61.63,62,78,6.02,broken clouds
196,Hasaki,JP,2022-05-28 17:08:13,35.7333,140.8333,63.0,81,93,7.09,overcast clouds
197,Port-Gentil,GA,2022-05-28 17:08:13,-0.7193,8.7815,78.76,78,20,13.8,few clouds
198,Lebu,CL,2022-05-28 17:08:13,-37.6167,-73.65,48.45,61,1,16.84,clear sky
199,Mayo,US,2022-05-28 17:08:14,38.8876,-76.5119,78.37,61,75,11.01,broken clouds
200,Uvat,RU,2022-05-28 17:08:14,59.1433,68.8953,54.28,89,87,5.14,light rain
201,Linares,CL,2022-05-28 17:08:15,-35.85,-71.6,48.52,62,87,6.24,overcast clouds
202,Semnan,IR,2022-05-28 17:08:15,35.5729,53.3971,76.24,14,3,8.66,clear sky
203,Atasu,KZ,2022-05-28 17:08:16,48.6814,71.6433,53.47,81,100,6.24,overcast clouds
204,Faanui,PF,2022-05-28 17:08:16,-16.4833,-151.75,81.01,68,19,16.11,few clouds
205,Sikasso,ML,2022-05-28 17:08:17,10.9167,-7.0,95.76,31,24,5.91,few clouds
206,Launceston,AU,2022-05-28 17:08:17,-41.45,147.1667,43.16,97,100,6.91,overcast clouds
207,Kothi,IN,2022-05-28 17:08:18,24.75,80.7833,97.12,23,45,7.36,scattered clouds
208,Wagar,SD,2022-05-28 17:08:18,16.1525,36.2032,99.64,8,2,8.86,clear sky
209,Canavieiras,BR,2022-05-28 17:07:44,-15.675,-38.9472,80.71,63,23,7.78,few clouds
210,Matara,LK,2022-05-28 17:08:19,5.9485,80.5353,77.36,92,99,8.68,overcast clouds
211,Laguna,US,2022-05-28 17:08:19,38.421,-121.4238,69.44,61,75,9.22,broken clouds
212,Rio Gallegos,AR,2022-05-28 17:08:20,-51.6226,-69.2181,42.85,56,20,32.21,few clouds
